ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2941093454,2026-07-09T08:47:33,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.891,4108.423,,,,,-0.47,-13.72,,so
2941093601,2026-07-09T08:47:34,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.927,4108.423,,,,,-0.51,-13.72,,so
2941094084,2026-07-09T08:47:39,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.054,4108.423,,,,,-0.63,-13.72,,so
2941094083,2026-07-09T08:47:39,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.054,4108.423,,,,,-0.63,-13.72,,so
2941093905,2026-07-09T08:47:37,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.141,4108.423,,,,,-0.72,-13.72,,so
2941093919,2026-07-09T08:47:37,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.163,4108.423,,,,,-0.74,-13.72,,so
2941093918,2026-07-09T08:47:37,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.163,4108.423,,,,,-0.74,-13.72,,so
2941094052,2026-07-09T08:47:38,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.169,4108.423,,,,,-0.75,-13.72,,so
2941094051,2026-07-09T08:47:38,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.169,4108.423,,,,,-0.75,-13.72,,so
2941094047,2026-07-09T08:47:38,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.169,4108.423,,,,,-0.75,-13.72,,so
2941111447,2026-07-09T08:52:07,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.353,4108.423,,,,,-0.93,-13.72,,so
2941111444,2026-07-09T08:52:07,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.353,4108.423,,,,,-0.93,-13.72,,so
2941094676,2026-07-09T08:47:48,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.38,4108.423,,,,,-0.96,-13.72,,so
2941094572,2026-07-09T08:47:46,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.405,4108.423,,,,,-0.99,-13.72,,so
2941093685,2026-07-09T08:47:35,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.415,4108.423,,,,,-1,-13.72,,so
2941094895,2026-07-09T08:47:50,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.608,4108.423,,,,,-1.19,-13.72,,so
2941093768,2026-07-09T08:47:35,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.619,4108.423,,,,,-1.2,-13.72,,so
2941095039,2026-07-09T08:47:53,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.632,4108.423,,,,,-1.21,-13.72,,so
2941094977,2026-07-09T08:47:52,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.632,4108.423,,,,,-1.21,-13.72,,so
2941095048,2026-07-09T08:47:54,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.635,4108.423,,,,,-1.22,-13.72,,so
2941111427,2026-07-09T08:52:07,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.699,4108.423,,,,,-1.28,-13.72,,so
2941111419,2026-07-09T08:52:07,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.699,4108.423,,,,,-1.28,-13.72,,so
2941106345,2026-07-09T08:50:54,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.745,4108.423,,,,,-1.33,-13.72,,so
2941106344,2026-07-09T08:50:54,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.745,4108.423,,,,,-1.33,-13.72,,so
2941106541,2026-07-09T08:50:58,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.79,4108.423,,,,,-1.37,-13.72,,so
2941106524,2026-07-09T08:50:58,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.79,4108.423,,,,,-1.37,-13.72,,so
2941106516,2026-07-09T08:50:57,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4109.79,4108.423,,,,,-1.37,-13.72,,so
